
2016-10-11T21:46:08.342Z - info: Redirecting to home page || user_id :6
2016-10-11T21:46:11.981Z - info: Displaying items for home page || user_id :6
2016-10-11T21:46:15.272Z - info: Displaying my collection details || user_id :6
2016-10-11T21:46:15.847Z - info: Error in displaying  my collection details for order history || user_id :6
2016-10-11T21:46:15.848Z - info: Error in displaying  my collection details for order history || user_id :6
2016-10-11T21:48:15.859Z - info: Error in displaying  my collection details for order history || user_id :6
2016-10-11T21:48:15.859Z - info: Error in displaying  my collection details for order history || user_id :6
2016-10-11T21:49:44.531Z - info: Redirecting to home page || anonymous user
2016-10-11T21:49:45.134Z - info: Displaying items for home page || anonymous user
2016-10-11T21:49:46.282Z - info: Redirecting to login page
2016-10-11T21:49:50.793Z - info: User logged in ||user_id :5
2016-10-11T21:49:50.822Z - info: Redirecting to home page || user_id :5
2016-10-11T21:49:51.380Z - info: Displaying items for home page || user_id :5
2016-10-11T21:49:52.840Z - info: Redirecting to my account page || user_id :5
2016-10-11T21:49:53.465Z - info: Displaying account details || user_id :5
2016-10-11T21:49:56.535Z - info: Displaying my collection details || user_id :5
2016-10-11T21:49:57.233Z - info: Displaying  my collection details for order history || user_id :5
2016-10-11T21:50:03.093Z - info: User sigining out ||user_id :5
2016-10-11T21:50:03.109Z - info: Redirecting to home page || anonymous user
2016-10-11T21:50:03.649Z - info: Displaying items for home page || anonymous user
2016-10-11T21:50:04.897Z - info: Redirecting to login page
2016-10-11T21:50:12.238Z - info: User logged in ||user_id :6
2016-10-11T21:50:12.269Z - info: Redirecting to home page || user_id :6
2016-10-11T21:50:12.815Z - info: Displaying items for home page || user_id :6
2016-10-11T21:50:17.180Z - info: Displaying my collection details || user_id :6
2016-10-11T21:50:18.887Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:53:57.339Z - info: Redirecting to home page || anonymous user
2016-10-11T21:53:58.025Z - info: Displaying items for home page || anonymous user
2016-10-11T21:53:58.881Z - info: Redirecting to login page
2016-10-11T21:54:03.104Z - info: User logged in ||user_id :6
2016-10-11T21:54:03.135Z - info: Redirecting to home page || user_id :6
2016-10-11T21:54:03.682Z - info: Displaying items for home page || user_id :6
2016-10-11T21:54:05.749Z - info: Displaying my collection details || user_id :6
2016-10-11T21:54:06.423Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:54:11.439Z - info: Displaying  my collection details for selling history || user_id :6
